text,question,answer
"بعدها انضم إلى كادر وزارة الشباب والرياضة وكان يعمل مخرجا في إذاعة صوت الجماهير آنذاك وبعد ذلك انضم مع مجموعة من الفنانين إلى الفرقة القومية للتمثيل التابعة إلى مؤسسة الدائرة السينما والمسرح عام 1970 وبدأ منذ ذاك العام التمثيل والإخراج وكانت أعماله كثيره منها من إخراجه ""أنشودة العمل"" و""أنا لا أستطيع تصور الغد"" و""ألف أمنية وأمنية"" و""أناس والحجارة"" و""حكاية من الخندق الخلفي"" و""قصة حب معاصرة،"" وفي مجال السينما مثل في  فيلم يوم آخر للمخرج صاحب حداد ومسافر ليل وفتى الصحراء والقناص لفيصل الياسري والمسألة الكبرى مع محمد شكري جميل وأيضا مثل في فيلم القادسية لصلاح أبو سيف وأخذ أدواره في الدراما التلفزيونية ومنها أعمال بدوية كثيرة (لأنه كان من هوات ركوب الخيل) وأعمال روائية منها الأماني الضالة وجرف الملح والمتمردون.",ما هي بعض الأفلام التي شارك فيها؟,"يوم آخر, مسافر ليل, القادسية."
كما أن فقدان الوزن بشكل سريع بعد عمليات تخفيف الوزن قد يساعد في الإصابة بحصوات المرارة عن طريق زيادة قابلية العصارة الصفراوية على تكوين الحصوات، وقد تمت دراسات الآثار الجانبية على الكلىإحيثنأأهم نتيجة غير طبيعية لتحليل البول هي فرط أوكسالات البول والتي قد تؤدي إلى اعتلال الكلية بالأوكسالات وبالتالي الفشل الكلوي الدائم.ما قد تمت الإشارة إلى حالات من الإصابة بانحلال الربيدات والذي يؤدي إلى قصور كلوي حاد، وانحدار في قدرة الكلى على موازنة الأحماض والقواعد بعد هذه العمليات.,ما هي أحد النتائج الغير طبيعية لتحليل البول بعد عمليات تخفيف الوزن؟,فرط أوكسالات البول.
كانت الحقبة الرومانسية واحدة من التغيرات الاجتماعية العظيمة في إنجلترا بسبب انخفاض عدد سكان الريف والتطور السريع للمدن الصناعية المكتظة بالسكان تقريبًا في الفترة بين 1798 و1832. كانت الحركة التي ناصرها الكثير من الناس في إنجلترا نتيجة قوتين: الثورة الزراعية، التي كانت تتضمن التسييج الذي دفع العمال وعائلاتهم إلى الرحيل عن الأرض، والثورة الصناعية التي وفرت لهم فرص العمل «في المصانع والمطاحن التي تديرها آلات تعمل بالطاقة البخارية». في الواقع، يمكن أن نرى الرومانسية جزئيًا على أنها بمثابة رد فعل على الثورة الصناعية، على أنها كانت أيضًا تمردًا على المعايير الاجتماعية والسياسية الأرستقراطية لعصر التنوير، كما كانت رد فعل على العقلانية العلمية للطبيعة. كانت الثورة الفرنسية ذات تأثير هام على التفكير السياسي للعديد من الشخصيات الرومانسية البارزة في هذا الوقت أيضًا.,ما الدافع وراء هجرة الناس من الريف الإنجليزي خلال الحقبة الرومانسية؟,الثورة الزراعية والتسييج.
المخصب مع غابات الجوز والكستناء. فوق مستوى سطح البحر عند سفح الجبال على ارتفاع 1000 متر.في فصل الربيع، وهناك وجهة نظر جميلة من الغابة.بعض الأشجار لتكون محمية من قبل الدولة.تم العثور على الغابات ديميراجاك بالقرب من قرية ماماداجالي من منطقة غابالا.,ماذا يمكن أن تشاهده في الغابة في فصل الربيع؟,وجهة نظر جميلة
ضباب عام 1997 على جنوب شرق آسيا هي أزمة تلوث هواء عابرة للحدود حدثت خلال النصف الثاني من عام 1997، وأثرت على عدد من البلدان الواقعة في منطقة جنوب شرق آسيا، ومن بينها إندونيسيا، وماليزيا، وسنغافورة. ويُعتبر ضباب عام 1997 هو حدث الضباب الأكثر شدة في جنوب شرق آسيا على الإطلاق، وقد قُدّرت التكاليف الإجمالية لضباب عام 1997 بنحو 9 مليار دولار أمريكي لما تسببت فيه من مشكلات صحية لسكان هذه المنطقة، وتعطيل للملاحة الجوية والأنشطة التجارية.,ما الدولة التي لم تتأثر بضباب عام 1997 في جنوب شرق آسيا؟,غير مذكورة في النص
1999 تي يو 247 (ويعرف أيضًا باسم (24080) 1999 تي يو 247 وفق تسمية الكوكب الصغير) ؛ هو كويكب ضمن حزام الكويكبات.,ما المكان الذي يتواجد فيه كويكب 1999 تي يو 247؟,حزام الكويكبات
بلغ العمر الوسطي للسكان 40 عاماً. وكانت نسبة 10.9% بين الثامنة عشر والأربعة وعشرون عاماً، ونسبة 25.3% كانت واقعةً في الفئة العمرية ما بين الخامسة والعشرون حتى والأربعة وأربعون عاماً، ونسبة 24.4% كانت ما بين الخامسة والأربعون حتى الرابعة والستون، ونسبة 18.3% كانت ضمن فئة الخامسة والستون عاماً فما فوق. يوجد لكل 100 أنثى 92.6 ذكر، ويوجد لكل 100 أنثى في الثامنة عشر من عمرها فما فوق 87.8 ذكر.,ما عدد الذكور لكل 100 أنثى في الثامنة عشر من عمرها وما فوق؟,87.8 ذكر
التصنيف غزير المخترعين تم نشرها في أوقات مختلفة. ومع ذلك، حتى البراءة السجلات الرقمية، هذه القوائم كانت مملة جدا لإعداد، كما أن العديد من الآلاف من سجلات البراءات إلى أن يتم التحقق يدويا. حتى بعد الرقمنة، فإنه لا يزال غير عملية بسيطة. في حين USPTO يبقى إحصاءات التصنيف السنوي من الاختراعات المخصصة للشركات لم تعد تصدر التصنيف العالمي الفردية المخترعين. آخر هذه القائمة نشرت من قبل مكتب الولايات المتحدة الأمريكية في عام 1998. كما براءات الاختراع سبقت عام 1976 لم رقمية في USPTO السجلات. وهذا يعني أن براءات الاختراع قبل عام 1976 لن يتم تضمينها في USPTO البحث عن طريق اسم المخترع وعدد براءات الاختراع الممنوحة من قبل 1976 يجب أن تضاف إلى البحث الحالي.,ماذا كانت مشكلة القوائم الرقمية للبراءات قبل عام 1976؟,صعوبة الاعداد والتحقق اليدوي
"بيلشرتاون هي منطقة سكنية تقع بولاية ماساتشوستس في الولايات المتحدة. تبلغ مساحتها 13.04 ، وترتفع عن سطح البحر 185 ، بلغ عدد سكانها 2,899 نسمة في عام 2010 حسب إحصاء مكتب تعداد الولايات المتحدة وتصل الكثافة السكانية فيها .",ما هي وظيفة مكتب تعداد الولايات المتحدة في النص؟,إحصاء عدد السكان
كتب بدرخان في مختلف الفنون الأدبية، وكان جلادت قد اعد قاموسا كرديا لكن زوجة الأمير روشن اهدته إلى الأكاديمية الكردية في بغداد عام 1971.,ماذا كتب بدرخان في مجال الفنون؟,أدب متنوع
